ASSOCIATIONTYPE,FROMFEATURECLASS,FROMASSETGROUP,FROMASSETTYPE,FROMGLOBALID,FROMTERMINAL,TOFEATURECLASS,TOASSETGROUP,TOASSETTYPE,TOGLOBALID,TOTERMINAL,ISCONTENTVISIBLE
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{B6AE01D3-D07C-449E-8705-60D0E16677E8},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{9111EACC-0CE7-4726-836E-C529E1B57145},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{4BA6C891-0695-4330-B19F-864762C81149},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{E42CC115-BDB2-4613-8EDC-EA5C487E5DEB},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{730D5FAE-CF4D-4CCE-97E0-925499D90D07},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{E42CC115-BDB2-4613-8EDC-EA5C487E5DEB},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{B6AE01D3-D07C-449E-8705-60D0E16677E8},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{E42CC115-BDB2-4613-8EDC-EA5C487E5DEB},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{5D74CF47-728E-460A-A74B-BDAE5AF2DB2C},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{65AC0D33-644C-4551-A8B7-243708876195},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{D06CAFEB-9BF6-4E35-B7C5-FEFDD6CB7285},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{65AC0D33-644C-4551-A8B7-243708876195},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{D8F6E759-1112-4BBB-B5AF-26C3374776D1},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{2E2AC7D4-9A38-4E2C-80ED-AB8D7C727175},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{E27543DC-47CB-4C91-B4E7-4422D0429BA8},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{2E2AC7D4-9A38-4E2C-80ED-AB8D7C727175},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{2D68E144-5F6E-484C-9D8F-B3DD808B9500},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{4B4BE4CC-1B2C-4B27-86BD-4E418F56951D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{DA2FAC04-ECF6-4AC9-8684-A3AEF6F299AD},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{452DDAB9-722A-4B3E-B772-5085EB1A194D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A957DC3F-E745-49EC-B214-9C03E6CD8050},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{452DDAB9-722A-4B3E-B772-5085EB1A194D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{FA0341EB-1A36-4283-877F-33C53F512459},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{452DDAB9-722A-4B3E-B772-5085EB1A194D},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{23FF5014-2A14-44B5-B832-053AFFC2219D},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{E85E46F3-0E28-48B7-A13F-6859BF71043C},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{23073358-97C5-4E5F-9FB2-AF890ABB9F1E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{E85E46F3-0E28-48B7-A13F-6859BF71043C},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{85CB297C-A252-4F99-8712-26E008E87236},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{42236F76-4CEE-449E-82E7-94F96ABB88C4},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{AB24AD20-C7C0-48A7-B0D0-968CAEF888C0},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{42236F76-4CEE-449E-82E7-94F96ABB88C4},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{A840EA4B-7C6D-4EEC-9077-D307ADA24ADC},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{42236F76-4CEE-449E-82E7-94F96ABB88C4},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{7FF730B0-7467-40D5-B435-82D87DE83A2E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{50BA5BE3-2190-419F-A1AF-BB1847CC5CE8},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{19119255-6F94-4D26-A704-A775CB6C9C50},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{50BA5BE3-2190-419F-A1AF-BB1847CC5CE8},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{BD010AD2-8717-4DD1-940A-9C518BE34D2D},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{50BA5BE3-2190-419F-A1AF-BB1847CC5CE8},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{B20F2845-2A2A-4CE5-B8DC-BE8D732D7686},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{6B8C9A1E-2ED4-4BDC-B759-68F1653E5461},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{21B0339A-A6E0-4E2F-A939-D410ECE6CBFE},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{6B8C9A1E-2ED4-4BDC-B759-68F1653E5461},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{1B5F7309-55B4-497E-8217-36F9B7E320C9},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{6B8C9A1E-2ED4-4BDC-B759-68F1653E5461},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{12A3E69B-8714-4756-982F-882868F32CC1},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{23024C20-B21C-43EF-A6EE-0A3589870744},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{5EBA4B01-2A5B-404F-B4C0-3C0555389AB5},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{23024C20-B21C-43EF-A6EE-0A3589870744},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{3A17C7D9-DDB6-4A4D-B8A4-BC3FC6450C7E},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{23024C20-B21C-43EF-A6EE-0A3589870744},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{12A3E69B-8714-4756-982F-882868F32CC1},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{CA2403AD-BBC9-4AB2-91A7-8D23E35969B6},Single Terminal,
Junction Junction Connectivity,ElectricDistributionDevice,Fuse,Overhead Cutout Fuse Load Breaking,{5EBA4B01-2A5B-404F-B4C0-3C0555389AB5},Single Terminal,ElectricDistributionJunction,Line End,Medium Voltage Three Phase Line End,{CA2403AD-BBC9-4AB2-91A7-8D23E35969B6},Single Terminal,
